time,length,frequency,pan,gain,voice,event
0.0,0.27,0.4801449998445641,0.0,0.023983315954118876,29,0
0.0,9.72,0.6187183243848515,0.0,0.03023983315954119,34,0
0.0,0.27,0.5316642066073395,0.0,0.007299270072992701,1,0
0.0,0.27,0.6924238784965201,-1.0,0.0014598540145985403,22,0
0.0,0.27,0.5584908179002163,-1.0,0.003962460896767467,28,0
0.0,0.27,0.6140780604408681,1.0,0.01397288842544317,25,0
0.0,0.27,0.6574094502530746,0.0,0.008967674661105318,24,0
0.0,0.27,0.445559007613308,0.0,0.032325338894681956,8,0
0.0,0.27,0.13393306059630392,0.0,0.16579770594369134,16,0
0.0,9.72,0.5882765155432295,0.0,0.061522419186652764,44,0
0.0,9.72,0.6007469430436796,0.20833333333333326,0.061522419186652764,43,0
0.0,0.27,0.445559007613308,0.0,0.032325338894681956,7,0
0.0,0.27,0.4801449998445641,-1.0,0.007299270072992701,6,0
0.0,0.27,0.2678661211926079,0.0,0.08237747653806048,14,0
0.0,0.27,0.6924238784965201,-1.0,0.0014598540145985403,21,0
0.0,0.27,0.3462119392482601,-1.0,0.01564129301355579,12,0
0.0,0.27,0.6574094502530746,0.0,0.008967674661105318,23,0
0.0,0.27,0.4801449998445641,-1.0,0.007299270072992701,5,0
0.0,0.648,0.21227887865195608,-1.0,0.09906152241918667,74,0
0.0,0.27,0.2678661211926079,0.0,0.08237747653806048,13,0
0.0,0.27,0.3462119392482601,0.0,0.049009384775808136,32,0
0.0,0.27,0.3462119392482601,0.0,0.049009384775808136,31,0
0.0,0.27,0.4801449998445641,0.0,0.023983315954118876,30,0
0.0,0.27,0.746664602958524,0.0,0.0014598540145985403,18,0
0.0,29.16,0.13393306059630392,0.0,0.09906152241918667,0,0
0.0,0.648,0.0,-0.09999999999999998,1.0,76,0
0.0,0.648,0.3462119392482601,-1.0,0.049009384775808136,71,0
0.0,0.648,0.3122668250915298,0.0,0.19916579770594373,72,0
0.0,0.27,0.3462119392482601,-1.0,0.01564129301355579,11,0
0.0,0.27,0.7226690878004085,1.0,0.0014598540145985403,19,0
0.0,0.27,0.5316642066073395,0.0,0.007299270072992701,2,0
0.0,9.72,0.6180622131862427,0.20833333333333326,0.03023983315954119,42,0
0.0,9.72,0.6438637580838813,0.0,0.01981230448383733,41,0
0.0,0.27,0.4017991817889119,1.0,0.049009384775808136,10,0
0.0,9.72,0.5888889552392605,0.0,0.061522419186652764,40,0
0.0,0.648,0.13393306059630392,0.10000000000000009,0.49947862356621486,75,0
0.0,9.72,0.6013211620764797,0.20833333333333326,0.061522419186652764,39,0
0.0,0.27,0.7226690878004085,1.0,0.0014598540145985403,20,0
